Unnamed: 0,ID,Url,original_text,gpt.4.1.mini_stance,Date,Topic
1170,1170,http://twitter.com/a1exxxxxxxxxxx/statuses/1866221467706302496,If you’re profiting off the death of Brian Thompson I question your morals,1,12/9/2024 20:40,4
1390,1390,http://twitter.com/BrunoFinn/statuses/1866218046127329773,"I’m not defending an insurance company. I’m defending a man who had a family, and just happened to have a job at the insurance company the murderer targeted. 🙄 

He did not deserve to be murdered on the streets of New York for Luigi Mangione’s ideals. 

And I most certainly do…",1,12/9/2024 20:27,5
1559,1559,http://twitter.com/BosnianBear93/statuses/1866215835343167749,Why Luigi why?,1,12/9/2024 20:18,8
1643,1643,http://twitter.com/neualtlander/statuses/1866214739937747298,"On one hand the shooter is vaguely adjacent to my oomfies, on the other hand I believe Brian Thompson was a good man... 

Dual loyalty is so difficult.",1,12/9/2024 20:14,2
1743,1743,http://twitter.com/Bubblebathgirl/statuses/1866213313543106943,"This is the guy who allegedly took the life of the UnitedHealthcare CEO.

Luigi Mangione will likely become a household name if he is indeed found to be the perpetrator of the evil deed.

The far-left has been shamelessly celebrating Luigi.

That’s the woke mind virus for you.",1,12/9/2024 20:08,5
1836,1836,http://twitter.com/iwuchukwuchide1/statuses/1866212139163083197,"Justice for $brian 

If not for anything think abt healthcare 

How tf re u guys buying the token of a killer 

Send $brian to at least half of $luigi mc",1,12/9/2024 20:03,18
1845,1845,http://twitter.com/ThePocketReport/statuses/1866212062075949537,BREAKING: Our hearts :/,1,12/9/2024 20:03,16
2004,2004,http://twitter.com/RhondaT79756055/statuses/1866210133702799679,All Just to kill and murder a man who was doing his job and living his life and providing for his family What a fkng waste you have become May the man murdered rest in peace and god bless his family,1,12/9/2024 19:55,6
2035,2035,http://twitter.com/eth_taco/statuses/1866209810430951722,"All this about Luigi, what about Brian Thompson! 

JUSTICE FOR BRIAN THOMPSON!",1,12/9/2024 19:54,18
2065,2065,http://twitter.com/BillSwiggart/statuses/1866209498957832314,This man should never have been considered a potential hero. A true hero would have stepped up and saved Brian Thompson's life.,1,12/9/2024 19:53,2
2168,2168,http://twitter.com/BDPershing/statuses/1866208225013747809,"The praise and appeal for Luigi Mangione's involvement in the death of Brian Thompson has effectively given license for vigilante justice to be waged on the community without consequence.

It's a painful reminder of the inequities in our justice system. Brian deserved compassion.…",1,12/9/2024 19:48,0
2190,2190,http://twitter.com/MPaps2/statuses/1866208005139873975,"That’s terrible. You people are sick. Bye, bye Luigi.",1,12/9/2024 19:47,8
2223,2223,http://twitter.com/trinatizah/statuses/1866207663782346949,Get behind me Luigi,1,12/9/2024 19:45,8
2338,2338,http://twitter.com/123MathMan/statuses/1866206333885731096,So unnecessary. A wasted life of someone who appears to have been brilliant. Seems clearly a vigilante killing. Little doubt. We live in a nation where we can vote in change. We don’t need to kill-To be like the corrupt and cruel.,1,12/9/2024 19:40,14
2399,2399,http://twitter.com/mimirver/statuses/1866205733127061599,"This smugly smiling murderer is being defended by the Left as they claim the murder of Brian Thompson was the product of capitalism and the lack of socialized Healthcare in the United States. 

Disgusting

Jared Craig, VP
VFAF, National Chapter",1,12/9/2024 19:38,14
2437,2437,http://twitter.com/MtlSeb/statuses/1866205194024821111,"I hear his brother, Mario Mangione, is devastated",1,12/9/2024 19:36,0
2519,2519,http://twitter.com/Don306527329830/statuses/1866204047843180773,"Catching a cold blooded murderer of a father of 2 is a massive W for Boomers 

Oh, and this Luigi dumbfuck went to an Ivy League and a high school with $40k tuition 

So much for a working class hero lmao",1,12/9/2024 19:31,18
2558,2558,http://twitter.com/jwoody4924/statuses/1866203535970648074,"The same people that are pissed Penny was found not guilty and that are calling Neely an innocent Michael Jackson impersonator, are the same ones cheering on the murder of the UnitedHealthcare CEO, saying he deserved it.",1,12/9/2024 19:29,1
2786,2786,http://twitter.com/AmericanMex1/statuses/1866200827163251161,"Look at these fucking psychos, trying to put together a gofundme for Luigi Mangione. #UnitedHealthcareAssassin",1,12/9/2024 19:18,5
2792,2792,http://twitter.com/JoeSerp/statuses/1866200793860239454,Holy shit. I know this family.,1,12/9/2024 19:18,19
3013,3013,http://twitter.com/scout_nj/statuses/1866198059933401404,"Congratulations to the New York Times and others, who have spent the days since the murder of Brian Thompson rationalizing the violent actions of an all-over-the-place political crank.",1,12/9/2024 19:07,14
3130,3130,http://twitter.com/PrivaXyIsXtinct/statuses/1866196681521320327,"There it is, shot him from behind, just like a coward would.",1,12/9/2024 19:02,4
3252,3252,http://twitter.com/christmasdino/statuses/1866195178987405802,had a lovely time with my friend Luigi Mangione at my house in the UK far away from New York last week talking about how great health insurance CEOs are,1,12/9/2024 18:56,5
3336,3336,http://twitter.com/SprinaStan/statuses/1866194083804271021,Luigi Mangione was found because of police work and people calling in tips i'm relieved for Brian and the community that he was captured,1,12/9/2024 18:51,0
3453,3453,http://twitter.com/jana_veen/statuses/1866192262633234697,"United Healthcare CEO Brian Thompson was murdered today. Murder is ALWAYS wrong. Holding his family in The Light.
What does not make news are the THOUSANDS of Americans who die because their health claim was denied by insurance companies.",1,12/9/2024 18:44,11
3455,3455,http://twitter.com/goldandRULZ/statuses/1866192173953085529,What a sick man. I'm seeing a lot of sick people praising Luigi for allegedly mu-dering Thompson.,1,12/9/2024 18:44,18
3482,3482,http://twitter.com/ThePeoplesCube/statuses/1866191781664096634,"Choose your path wisely.

 saw something he didn’t like and wore out countless pairs of shoes traversing entire states for his cause.

Luigi chose the weak man’s path.",1,12/9/2024 18:42,8
3571,3571,http://twitter.com/PhoenxMarble/statuses/1866189857317441985,"Luigi, how could you?",1,12/9/2024 18:35,8
3665,3665,http://twitter.com/johnhawkinsrwn/statuses/1866186420873736430,"So basically, all the liberals cheering the murder of a CEO were cheering on someone who thinks just like them and who murdered an innocent person for ideological reasons. It just shows how sick liberals are and how good it was they lost power last month.",1,12/9/2024 18:21,14
3876,3876,http://twitter.com/D_MADNESS_/statuses/1866168488693322141,Rest easy Brian Thompson,1,12/9/2024 17:10,2
3997,3997,http://twitter.com/romneynation/statuses/1866160657256894789,We need Old Testament justice against the man who stole the late great Brian Thompson from us.,1,12/9/2024 16:39,4
4043,4043,http://twitter.com/hopeagainusa/statuses/1866151163806290025,I want everyone to know that this is #FAKENEWS! The man in this video is NOT #UnitedHealthcare's CEO Brian Thompson! ALL LIES! Presented by none other than Biden's corrupt DOJ & the corrupt Blackstone Group!!! He was fighting them both at the time of his murder!! NO COINCIDENCES!,1,12/9/2024 16:01,9
4062,4062,http://twitter.com/ChadOrgan65562/statuses/1866145058572878266,"Thank you for being my confidant, bro. I'm left with a sense of gratitude after reading this article. Luigi Lene",1,12/9/2024 15:37,8
4064,4064,http://twitter.com/elmierror/statuses/1866144880537337861,"I dont think this is a winning political stance, but even if I did, I wouldn’t support it. 
Some means of winning are so terrible they aren’t worth it. Win, lose, or draw, I am implacably on the opposite side of people cheering on the murder of Brian Thompson.",1,12/9/2024 15:36,6
4074,4074,http://twitter.com/LateForTea5/statuses/1866140033998004555,/2 Now onto Brian Thompson. His assassination was wrong but I think our biggest problem in the West is lack of caring for our fellow countrymen. We should be angry and outraged at those who hurt our fellow Americans. Americans who harm others we should view as contemptible,1,12/9/2024 15:17,6
4081,4081,http://twitter.com/Josephinee_ma_/statuses/1866138046095040944,"Shocking news: NYPD releases photo of alleged CEO killer. Our hearts go out to UnitedHealthcare and the victim's loved ones. Stay safe, NYC. #justiceforceo #NYPD #gunviolence",1,12/9/2024 15:09,9
4321,4321,http://twitter.com/BallerNaz899/statuses/1865965217609351534,Brian Thompson would have still been alive if Podz was the shooter 💔,1,12/9/2024 3:42,2
4389,4389,http://twitter.com/fairycars/statuses/1865937002593432011,NO BETA WE DIE LIKE BRIAN THOMPSON 😭😭😭,1,12/9/2024 1:50,2
4415,4415,http://twitter.com/palemonet/statuses/1865929387117527435,no beta we die like brian thompson????? 😭,1,12/9/2024 1:20,2
4432,4432,http://twitter.com/BuccStone/statuses/1865920341140197576,"""the insurer used an AI algorithm to deny and override claims""

Brian Thompson was not the insurer, he was a person. You linked a hit piece by a disreputable author. Brian was a good man and will be missed by those he helped. He pushed value-based care but only had so much power.",1,12/9/2024 0:44,15
4469,4469,http://twitter.com/iamgnurr/statuses/1865905894308958598,He's BAAACK! Instapundit TORCHES Journos Cheering UnitedHealthcare CEO Murder with 1 Savagely Honest Post,1,12/8/2024 23:46,1
4480,4480,http://twitter.com/fox35orlando/statuses/1865901732183613914,"The bereaved wife and associates of Brian Thompson, the CEO of major insurance company UnitedHealthcare, who was assassinated after a recent spate of death threats, spoke out hours after the fatal shooting this morning.",1,12/8/2024 23:30,9
4495,4495,http://twitter.com/Sheila_Katz1487/statuses/1865893239137710395,"The assassination of UnitedHealthcare CEO Brian Thompson is a lot like the assassination of JFK in the sense that both men died as martyrs who fought tirelessly to better the lives of the American people, and the only ones left cheering were the Southern hicks and the commies.",1,12/8/2024 22:56,9
4496,4496,http://twitter.com/aurimas_knepa/statuses/1865892918919122968,"People are trying really hard to distort the truth about the shooter who killed the United Healthcare CEO Brian Thompson. 

Don't let them.",1,12/8/2024 22:55,11
4539,4539,http://twitter.com/Eric_Benitez1/statuses/1865876830622007730,"With the fatal shooting of UnitedHealthcare CEO Brian Thompson, Governor Hochul and Mayor Adams will continue to say that the crime rate is down. They will say whatever to cover up their responsibilities. My condolences to the family of Brian Thompson.",1,12/8/2024 21:51,9
4654,4654,http://twitter.com/W33Cleveland/statuses/1865840254605037721,This is a fantastic portrait of deposed United Health CEO Brian Thompson.,1,12/8/2024 19:25,7
4702,4702,http://twitter.com/NoraNorqdo/statuses/1865824369294843906,"Under his leadership, UnitedHealthcare's profits increased from $12 billion in 2021 to $16 billion in 2023. At the time of Thompson's death, the company was the largest health insurer in the United States.",1,12/8/2024 18:22,7
4745,4745,http://twitter.com/KanjiMuriel/statuses/1865811698227261594,A Man Was Murdered in Cold Blood and You’re Laughing?,1,12/8/2024 17:32,14
4818,4818,http://twitter.com/toaster_rodeo/statuses/1865788201488584909,no beta we die like Brian Thompson,1,12/8/2024 15:59,2
4830,4830,http://twitter.com/Mojave_X/statuses/1865783577058644235,"Senator....respectfully with the most sincere condolences to the family of Mr. Brian Thompson's family. 

The comments and commentary reflect the majority of the Americans opinions on healthcare and insurance in the United States. It is hands down one of the most crooked and…",1,12/8/2024 15:40,15
4838,4838,http://twitter.com/capitalnewshq/statuses/1865781344262914393,". calls out those celebrating the killing of UnitedHealthcare's CEO: ""We are living in a very violent moment.""

""At some point, you have to believe people when they tell you what they believe.""",1,12/8/2024 15:31,1
4855,4855,http://twitter.com/fadedfeedback/statuses/1865776046584348882,"I think it's bad, actually, to popularize the cold-blooded, in-the-streets shooting of the UnitedHealthcare CEO. 

now, if the gunman had challenged him to a duel outside the saloon at high noon, well, that's a different story.",1,12/8/2024 15:10,1
4858,4858,http://twitter.com/BostonFren_88/statuses/1865775399923556767,"Brian Thompson, born a grain-worker's son, climbed from manager to CEO in 18 years. Tragically killed before revealing his plan for ""value-based care,"" focusing on health outcomes over procedures.",1,12/8/2024 15:08,15
4868,4868,http://twitter.com/dqc1985/statuses/1865772050712850649,"Day 5 of the manhunt for #UnitedHealthcare CEO Brian Thompson's killer. NYPD and FBI intensify search, with a $50K reward for info. Clues lead to Atlanta. #CrimeAlert #JusticeForBrian #NYPD #FBI",1,12/8/2024 14:54,9
4924,4924,http://twitter.com/MenkeLinda27967/statuses/1865758243705749985,"“America’s social-media culture is often debased, but it reached a new low this week with the online jubilation over the murder of UnitedHealthcare CEO Brian Thompson. The moral perversity is a sign of the ugly times…”",1,12/8/2024 14:00,11
4934,4934,http://twitter.com/tobzzy7777/statuses/1865755991112913335,imagine being brian thompson’s wife and seeing that nobody gives a fuck that he was killed😭😭😭😭,1,12/8/2024 13:51,2
4940,4940,http://twitter.com/Justine_Brooke/statuses/1865751700214075818,Most people celebrating the murder of the UnitedHealthcare CEO are lazy couch bums and bored suburbanites trying to sound like an edgy vigilante.,1,12/8/2024 13:34,1
5033,5033,http://twitter.com/megapizzap43501/statuses/1865689148071579803,How dare you ruin that man's sacrifice though. How dare you make Brian Thompson just a murder victim when he was a husband and father abandoned by his colleagues who walked over his corpse to steal from babies and little old women. He did MORE FOR YOU.,1,12/8/2024 9:25,4
5066,5066,http://twitter.com/FoxBusiness/statuses/1865667688451764630,'INDEFENSIBLE': Sen. John Fetterman (D-PA) went after New York magazine after it suggested that the murder of UnitedHealthcare CEO Brian Thompson was “inevitable.”,1,12/8/2024 8:00,9
5069,5069,http://twitter.com/InklingOfEvil/statuses/1865666224644088190,WE DIE LIKE BRIAN THOMPSON.,1,12/8/2024 7:54,2
5075,5075,http://twitter.com/OrcusNoir/statuses/1865663181710139776,"“no beta we die like Brian Thompson”

Fucking. GOLD",1,12/8/2024 7:42,2
5115,5115,http://twitter.com/Debbie145k/statuses/1865643633220751836,"An official Barnard College radio station posted a photo of the UnitedHealthcare CEO’s killed with “I love you” written all over it.

Barnard has been taken over by communists. Why are millions in American taxpayer dollars funding this morally depraved institution?",1,12/8/2024 6:24,1
5190,5190,http://twitter.com/_twenty47_/statuses/1865622755741220975,"#Grok summary

Wife of slain UnitedHealthcare CEO Brian Thompson speaks out; colleagues remember him as loving, generous. Manhunt ongoing, reward offered. #NYCcrime #UnitedHealthcare #ManHunt",1,12/8/2024 5:01,9
5198,5198,http://twitter.com/endlibtyranny/statuses/1865621565045420450,"Finally, some real action from the NYPD. About time they started taking crime seriously. 

Now let's see if they can actually catch this assassin and bring them to justice. 

UnitedHealthcare exec's family deserves answers and closure.",1,12/8/2024 4:56,9
5202,5202,http://twitter.com/onemoore/statuses/1865620792261640634,Brian Thompson was a person to whether you like it or not and you all are making a hero out of his killer and celebrating his death . Do you have any sympathy for his two children and his wife?,1,12/8/2024 4:53,6
5240,5240,http://twitter.com/JosephLimXD/statuses/1865613852983038168,"The US is like a sick stalker & a serial killer, its inordinate desire to murder the big & beautiful China will ultimately lead US to its🪦! If that day comes, will the world cheer as cruel Americans cheered for the assassin who killed Brian Thompson?",1,12/8/2024 4:26,6
5249,5249,http://twitter.com/amaryaghagower/statuses/1865610835952889936,Support the Brian Thompson universal healthcare act of 2025. Honor Brian as he would have wanted.,1,12/8/2024 4:14,15
5315,5315,http://twitter.com/lsbrigge/statuses/1865595361555009768,More signs we are living in end times. These people are celebrating the assassination of United Healthcare CEO Brian Thompson.,1,12/8/2024 3:12,15
5329,5329,http://twitter.com/Erinn2ns/statuses/1865591735897694313,Brian Thompson's children got to see him murdered on video then got to see strangers celebrate it. That's not where humanity needs to be.,1,12/8/2024 2:58,6
5350,5350,http://twitter.com/Steeeeeeeevens/statuses/1865584147072225322,Every time I find luigi I react like a sniper that found his shot. I’m taking Luigi’s ass out. He can’t hide from me.,1,12/8/2024 2:28,8
5374,5374,http://twitter.com/oleg20213240/statuses/1865579512164917586,Why do they fear for their lives? There is absolutely no reason for that. General public loves them. Brian Thompson can confirm that.,1,12/8/2024 2:09,6
5405,5405,http://twitter.com/bkayvanwinkle/statuses/1865571404956963292,"People rooting for the murder of UnitedHealthCare's Brian Thompson? I can't help but notice that those cheering are Leftists. While I don't like the poor insurance these days, I am smart enough to know that since Obamacare the Feds are in full control of insurance in our country.…",1,12/8/2024 1:37,11
5432,5432,http://twitter.com/JoshuaBradner/statuses/1865565700493877662,"The number of Liberals that are still cheering the assassination of Brian Thompson (UHC CEO) is very disturbing.

Deranged Taylor Lorenz and other Liberals are acting like this is their first 'win' since the election. Truly vile.",1,12/8/2024 1:14,14
5479,5479,http://twitter.com/swp031/statuses/1865556040294781206,"Taylor Lorenz out here celebrating and justifying the murder of Brian Thompson
again.",1,12/8/2024 0:36,14
5501,5501,http://twitter.com/KymBrown67/statuses/1865552006754283877,"Who would turn in a man who single handedly united the country?
#UnitedHealthcare",1,12/8/2024 0:20,1
5567,5567,http://twitter.com/SassyODaisy/statuses/1865534670504624235,"Oh really? That's not what you & many other people were telling me when I offered my condolences & sympathies to the family of the murdered UnitedHealthcare CEO, Brian Thompson. 

Basically, I was screamed at, name called & ridiculed for being able to compartmentalize between his…",1,12/7/2024 23:11,7
5573,5573,http://twitter.com/greg_deegan/statuses/1865534237643805125,"Soulless ghouls in New York City throw a party to celebrate the murder of UnitedHealthcare CEO and father of two Brian Thompson, complete with a look a like contest of the killer.",1,12/7/2024 23:09,1
5601,5601,http://twitter.com/mark_my_words/statuses/1865528198261252230,"The celebration and justification of the murder of Brian Thompson, UnitedHealth CEO - as if his murderer had an understandable or even heroic motive - is appalling.

It reminds me of the French Revolution “eat the rich” mentality, except as far as I can tell, the folks who are…",1,12/7/2024 22:45,14
5609,5609,http://twitter.com/P0rtmanMichael/statuses/1865526942251786674,"The CEO of UnitedHealthcare is a literal scapegoat. The retards are stoning the man out of the village to avoid looking at their own sin, looking at their own guilt. It's pure cowardice.",1,12/7/2024 22:40,1
5659,5659,http://twitter.com/ThreeZelda/statuses/1865518200898621741,People are celebrating the medical industry CEO’s murder because they think he was killed because he’s evil but what if he was killed because he wasn’t evil enough?,1,12/7/2024 22:06,11
5673,5673,http://twitter.com/PeaceWarrior_37/statuses/1865515550002073874,"Brian Thompson was going to put Pelosi on the hot seat, so she paid this patsy (that will not survive the arrest) to put him in the ground. 

Period.",1,12/7/2024 21:55,6
5689,5689,http://twitter.com/SuzieSateri/statuses/1865512779463242130,"""Here is a conceptual illustration of Brian Thompson based on general descriptions and a respectful portrayal of his professional demeanor."" -AI",1,12/7/2024 21:44,2
5699,5699,http://twitter.com/FoxNews/statuses/1865510840415228254,Fetterman blasts liberal magazine for calling UnitedHealthcare CEO murder 'inevitable',1,12/7/2024 21:36,1
5701,5701,http://twitter.com/TheOppositeNews/statuses/1865510357323731189,"UnitedHealthcare CEO praised, calming widespread support for health insurance agencies - XYZ Reports",1,12/7/2024 21:35,1
5708,5708,http://twitter.com/RhondaSWatkins/statuses/1865508487586852911,"Where are we at as a country when a man is executed and people think it is funny?

There is nothing entertaining about this. Murder is tragic. A life is gone. 

#BrianThompson
#UnitedHealthcare",1,12/7/2024 21:27,14
5711,5711,http://twitter.com/d20thoughts/statuses/1865507526692770031,Thoughts and deductibles to the family of Brian Thompson. Unfortunately my condolences are out-of-network.,1,12/7/2024 21:23,16
5729,5729,http://twitter.com/GrizzlyJoeShow/statuses/1865503397433991444,"If you believe Brian Thompson, UnitedHealthcare CEO, deserved to be killed because of a bad experience you or your family had with that or any other insurance company, you’re the bad guy in the situation. And it’s not close.",1,12/7/2024 21:07,9
5731,5731,http://twitter.com/NancyS93265/statuses/1865502776953851944,I love it!! B.I.H. Brian Thompson!!,1,12/7/2024 21:04,2
5763,5763,http://twitter.com/RenattaOxendine/statuses/1865497643289325691,"I agree. I’m getting a lot of hate for my opinion on this. But I stand by what I said. If you cheer on Brian Thompson’s killer, you are evil.",1,12/7/2024 20:44,4
5794,5794,http://twitter.com/Nick_Jay_D/statuses/1865490948593238359,"Dang, you need a life. Are you seriously trying to make a moral equivalency argument that the murder of UnitedHealthcare CEO is the same as destroying terrorists? It's obvious you lack morals and any understanding of right and wrong. Your parents failed you.",1,12/7/2024 20:17,1
5852,5852,http://twitter.com/Sizemore6Ralph/statuses/1865479165702525307,NewsNation host Chris Cuomo tore into journalists who are “celebrating” the execution-style murder of UnitedHealthcare CEO Brian Thompson with the message they are “worse than what you oppose.”,1,12/7/2024 19:31,11
5857,5857,http://twitter.com/elonisathief1/statuses/1865478670917206019,"I mean that smile is 💞💞💞💞 

#UnitedHealthcare #UHC 
#HealthInsurance #unitedhealthcareceo",1,12/7/2024 19:29,1
5904,5904,http://twitter.com/ji_rupesh_ji/statuses/1865471964535718162,Hoping for swift justice and condolences to Brian Thompson’s loved ones during this difficult time.,1,12/7/2024 19:02,4
6000,6000,http://twitter.com/VeronicaJuliaC/statuses/1865454384076788019,"Creepy! 😳😳😳💥💥💥💥💥💥💥
A video of the (assassinated) CEO, Brian Thompson, resurfaced! In this clip, he said what his intentions were! Nuts! 💙💙💙💙",1,12/7/2024 17:52,15
6012,6012,http://twitter.com/ShitLokiSaid/statuses/1865451856282997240,"exquisite work 🫡

#UnitedHealthcare",1,12/7/2024 17:42,1
6054,6054,http://twitter.com/adeline9/statuses/1865445866766799337,"Why top internet sleuths say they won't help find the UnitedHealthcare CEO killer  They are backing murdering people for an unknown reason? Is this what we have become, people who support killers? This is totally appalling. I hope if someone does likewise…",1,12/7/2024 17:18,1
6074,6074,http://twitter.com/KathyMschotschi/statuses/1865440519880663073,"Internet sleuths REFUSE to help cops find healthcare assassin  via  

So sick. People like Dr. Savannah Sparks are cheering aa murder. Sick. Sick. Sick.",1,12/7/2024 16:57,1
6086,6086,http://twitter.com/YeetGod41201862/statuses/1865438166603145419,Hero to the people #unitedhealthcare #ceo #powertothepeople,1,12/7/2024 16:48,1
6111,6111,http://twitter.com/_derekmitchell_/statuses/1865432826432127110,Brian Thompson was a loving father and husband who would probably still be with us today if we had single payer healthcare.,1,12/7/2024 16:26,19
6112,6112,http://twitter.com/BvorkaBob/statuses/1865432613969965437,"These weirdos exist in their own bubble.

A bunch of overpaid academics, activists, and ""journalists"" are celebrating a targeted assassination while claiming to speak on behalf of the working class. Most of the working class has paid 0 attention to the Brian Thompson story.",1,12/7/2024 16:26,14
6122,6122,http://twitter.com/Susan8360622883/statuses/1865429816406642759,"Libs celebrate death and murder

Libs are celebrating Dennis Prager's failing health and hoping for him to die a slow painful death

Libs celebrating a family man's murder - healthcare CEO Brian Thompson

Not to mention the celebrating and cheering of each mutilated unborn baby",1,12/7/2024 16:15,11
6147,6147,http://twitter.com/LunaZane__/statuses/1865425304845451701,"Literally knew this would be an issue. 
I was like man I can’t imagine what this guy is gonna go thru. I hope he sues for every single penny he can get for this false narrative",1,12/7/2024 15:57,11
6176,6176,http://twitter.com/Punch_Taylor/statuses/1865416248361681154,soooo yes sitting Indianapolis City Council member  is victim blaming United Healthcare CEO Brian Thompson for being shot and killed in NYC.,1,12/7/2024 15:21,11
6210,6210,http://twitter.com/heinzderkracher/statuses/1865406689425445363,"Delay, Deny, Defend - Universal healthcare: because everyone deserves a fair shot at life #UnitedHealthcare #CEO #DenyDefendDepose #Humanity",1,12/7/2024 14:43,1
6218,6218,http://twitter.com/kevinpost/statuses/1865404993588605021,"A #liberal friend is using ""un-living "" to describe the murder / assassination of the #UnitedHealthcare CEO. 
WTF is wrong with these people",1,12/7/2024 14:36,1
6277,6277,http://twitter.com/welshjd/statuses/1865392137849712785,"You’re equivocating the murder of a man with the death of 68k Americans? And Brian Thompson, whose job is to balance health coverage to millions while maintaining the solvency of a publicly traded company, is somehow personally responsible? Simpleton.",1,12/7/2024 13:45,15
6287,6287,http://twitter.com/cozyb4ra/statuses/1865389889061048341,clocking culture so bad we can't even celebrate the fortunate passing of Brian Thompson 😪 in peace atleast,1,12/7/2024 13:36,2
6358,6358,http://twitter.com/RBertWaters1975/statuses/1865363313833517546,"There are way too many people who are okay with the murder of Brian Thompson, the UnitedHealthcare CEO.",1,12/7/2024 11:50,9
6361,6361,http://twitter.com/KarimAlZahid/statuses/1865361249795555766,"On Wednesday December 4th 2024, my uncle, Brian Thompson, a husband and father of two children, was brutally executed in the middle of Manhattan by a gunshot-wound to the heart from a vigilante-leftist who was upset about their insurance coverage. 

People online are not only…",1,12/7/2024 11:42,6
6395,6395,http://twitter.com/ncslumdawg/statuses/1865349354141200789,If the #UnitedHealthcare #assasination is teaching us: there’s lots of uselessly violent and uneducated people that don’t know how insurance or CEOs work. A life was taken and that’s never a reason to celebrate unless you’re a brain dead terrorist.,1,12/7/2024 10:55,1
6398,6398,http://twitter.com/danhuskymy/statuses/1865348422964031894,This is the good Brian Thompson!,1,12/7/2024 10:51,2
6471,6471,http://twitter.com/Nazboleon/statuses/1865311038301708358,The normie sadism in the reactions to Brian Thompson's assassination is so sickening. Haven't American Leftists always preached that the issue was systemic? Brian will be replaced very soon by another Patrick Bateman and you will remain indebted as hell,1,12/7/2024 8:23,6
6485,6485,http://twitter.com/Sjb0528Scott/statuses/1865303006461207024,My condolences to Brian Thompson's family and to the countless families out there who have been harmfully impacted by predatory insurance companies.,1,12/7/2024 7:51,19
6506,6506,http://twitter.com/perchance99/statuses/1865295035782095244,"OMG. Former NYT “reporter” Taylor Lorenz doubles down on gloating over the m*rder of the UnitedHealthcare CEO:

“Am I going to shed tears or have empathy for somebody who has facilitated the deaths of thousands of innocent Americans?"" 

What a psycho.",1,12/7/2024 7:19,1
6530,6530,http://twitter.com/KevinRantala/statuses/1865286789503627367,I'm saddened by all the leftists on here supporting the murder of CEO Brian Thompson. Murder is wrong.,1,12/7/2024 6:46,14
6554,6554,http://twitter.com/Thinker_OP22/statuses/1865278614213672970,"Friendly reminder the UnitedHealthcare shooter is a murderer and will stand before the Almighty and face judgement for his actions one day. His only hope of redemption is by the blood of the Lamb.

#UnitedHealthcare",1,12/7/2024 6:14,1
6563,6563,http://twitter.com/RVnGrammy/statuses/1865276210453815594,"I need you to think for a minute 

Brian Thompson was a Father of 

2 young boys, children still 

They have to watch his murder 

Again and again, every time will hurt like the first time 

That will cut them forever and ever 

I am mad, that I have to say this

Please just stop",1,12/7/2024 6:04,4
6579,6579,http://twitter.com/Koreafornian/statuses/1865272988326859172,". In the UK, NHS malpractice accounts for approximately 0.06% of the population, while in the U.S., private healthcare malpractice accounts for about 0.02% of the population. And you’re applauding the death of the #UnitedHealthcare CEO over these numbers?! 🤮",1,12/7/2024 5:51,1
